country,svensk-folk-swedish-alt-country,brit-pop-rock-piano-post,roll-oldies-60s-heavy-70s,60s-oldies-motown-50s-40s,indietronica-folk-revival-post-punk,r'n'b-hop-hip-r&b-urban,house-tropical-electro-dj-kygo,east-rap-coast-hop-hip,metal-grunge-screamo-nu-heavy,skitz0rz-sunflower-factor-bitch-uitluisteren,minimal-trip-hop-idm-techno
POL,1,2,9,1,9,1,4,3,7,8,2
IDN,0,7,2,0,11,2,3,2,4,13,0
CPV,0,3,6,1,7,3,2,4,2,6,4
LIE,1,1,15,3,4,2,4,0,8,3,8
MCO,7,4,6,0,22,0,4,0,1,6,0
GMB,0,1,4,1,17,0,0,8,5,8,4
AZE,0,2,8,2,13,0,1,2,6,6,8
SEN,1,1,5,5,11,3,2,7,1,11,1
MLT,1,3,9,2,11,0,3,3,5,9,3
HUN,0,2,7,1,11,0,6,4,8,7,4
TWN,2,5,2,1,5,2,8,2,0,19,0
CYP,0,1,15,2,10,0,3,1,9,7,1
BRB,0,2,3,7,1,9,3,7,2,15,0
LTU,1,2,11,1,13,0,3,1,7,6,5
MNG,0,3,3,1,14,0,1,8,1,4,13
GBR,0,2,9,3,13,0,2,3,6,7,4
TUN,0,1,11,2,9,0,3,5,2,6,11
RWA,0,2,3,2,11,6,2,11,4,7,0
ARG,0,3,9,1,12,0,2,2,9,3,5
NOR,0,1,9,1,8,1,8,5,2,13,1
GHA,0,4,4,2,2,9,3,9,0,13,0
AUS,0,1,5,1,16,0,3,5,5,10,3
CUB,0,2,4,1,6,3,4,5,11,12,2
ZMB,0,1,1,1,15,2,1,7,5,17,0
GTM,0,3,10,1,10,0,4,2,12,6,0
ZWE,3,3,3,4,6,7,2,3,2,17,0
BEL,0,1,12,2,14,0,2,4,5,6,3
HTI,0,4,1,1,11,3,5,3,1,16,3
MRT,2,0,9,11,10,0,0,2,2,0,5
NLD,1,3,9,3,12,1,6,2,4,7,0
DNK,0,3,9,3,3,2,6,3,3,15,1
TCD,0,1,9,1,14,0,0,1,3,3,11
LKA,2,4,5,2,6,4,7,4,4,12,0
BGR,0,2,11,1,6,0,2,3,15,6,4
JAM,0,3,0,2,2,13,5,8,0,16,0
ALB,0,2,7,2,17,0,0,4,3,8,7
